smiles,compound_id,MolWt,LogP,NumHDonors,NumHAcceptors
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,135398737,326.83100000000013,3.7227000000000023,1.0,4.0
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,2391,361.39700000000005,4.112400000000003,0.0,5.0
CN1CCC[C@H]1c1cccnc1,89594,162.236,1.8483,0.0,2.0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,2160,277.411,4.168600000000003,0.0,1.0
CN[C@H](C)Cc1ccc2c(c1)OCO2,1615,193.24599999999995,1.5656999999999999,1.0,3.0
CN[C@@H](C)Cc1ccc2c(c1)OCO2,1615,193.24599999999995,1.5656999999999999,1.0,3.0
O=NN(CCCl)C(=O)NCCCl,2578,214.052,1.157,1.0,3.0
CC(=O)Nc1ccc(O)cc1,1983,151.165,1.3505999999999998,2.0,2.0
CCCC(CCC)C(=O)O,3121,144.214,2.2874,1.0,1.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5566,407.50500000000017,4.945600000000005,0.0,4.0
CCc1cc(C(N)=S)ccn1,2761171,166.24900000000002,1.2782,1.0,2.0
C[C@H](Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,2318,351.368,4.083000000000003,1.0,3.0
CS(=O)(=O)OCCCCOS(C)(=O)=O,2478,246.30599999999998,-0.2809999999999997,0.0,6.0
Cn1c(=O)c2[nH]cnc2n(C)c1=O,2153,180.16699999999997,-1.0397000000000005,1.0,5.0
Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O,3182,254.24599999999998,-2.213099999999999,2.0,8.0
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,3182,254.24599999999998,-2.213099999999999,2.0,8.0
CC(=O)Oc1ccccc1C(=O)O,2244,180.15899999999996,1.3101,1.0,3.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2726,318.8730000000001,4.894400000000004,0.0,3.0
CNCCCN1c2ccccc2CCc2ccccc21,2995,266.388,3.5328000000000026,1.0,2.0
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,2801,314.86,4.528400000000004,0.0,2.0
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,2895,275.39500000000004,4.553800000000004,0.0,1.0
C/N=C(\NC#N)NCCSCc1nc[nH]c1C,2756,252.347,0.5973999999999997,3.0,4.0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,3488,494.0130000000003,3.641700000000003,3.0,5.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,3676,234.343,2.5837400000000006,1.0,2.0
C/N=C1/CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,2712,299.761,1.8492000000000002,1.0,3.0
CCN(CCCc1ccccc1)CCCc1ccccc1,3678,281.443,4.5739000000000045,0.0,1.0
C[N+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,4057,340.4430000000001,2.7045000000000012,1.0,3.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,4680,339.3910000000001,3.860000000000003,0.0,5.0
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,4934,368.4970000000001,4.730800000000005,0.0,3.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,4926,284.42800000000005,4.241000000000003,0.0,3.0
CC(C)(C)NC[C@H](O)c1cc(O)cc(O)c1,5403,225.288,1.5192999999999997,4.0,4.0
CC(C)(C)NC[C@@H](O)c1cc(O)cc(O)c1,5403,225.288,1.5192999999999997,4.0,4.0
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,5533,371.8720000000001,2.3617,0.0,6.0
CC(C)(C)NC[C@H](O)c1ccccc1Cl,5606,227.735,2.7615000000000007,2.0,2.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5505,270.354,1.78302,2.0,3.0
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,9651,287.35900000000004,1.8503,1.0,4.0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,16362,461.5560000000001,5.8570000000000055,1.0,3.0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,3957,382.89100000000025,4.887800000000005,0.0,3.0
N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,2130,151.253,1.9139,1.0,1.0
COc1ccc(C(=O)N2CCCC2=O)cc1,2196,219.23999999999995,1.4578,0.0,3.0
Nc1c2c(nc3ccccc13)CCCC2,1935,198.26899999999992,2.695800000000001,1.0,2.0
CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,2083,239.315,1.3059999999999998,4.0,4.0
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,2083,239.315,1.3059999999999998,4.0,4.0
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,2477,385.5120000000001,2.0881999999999996,0.0,6.0
